Source,Target,Type,Weight
274,201,Directed,1.0
274,271,Directed,4.0
274,207,Directed,4.0
274,61,Directed,1.0
274,48,Directed,2.0
274,131,Directed,1.0
274,287,Directed,1.0
274,132,Directed,4.0
274,155,Directed,1.0
274,114,Directed,2.0
274,159,Directed,1.0
274,297,Directed,2.0
275,243,Directed,1.0
275,191,Directed,1.0
275,40,Directed,2.0
275,154,Directed,1.0
276,223,Directed,2.0
276,191,Directed,2.0
277,258,Directed,2.0
278,191,Directed,4.0
279,250,Directed,2.0
279,191,Directed,2.0
279,5,Directed,2.0
279,45,Directed,2.0
280,191,Directed,1.0
281,239,Directed,2.0
281,82,Directed,2.0
281,243,Directed,2.0
281,150,Directed,2.0
281,191,Directed,2.0
281,154,Directed,2.0
281,56,Directed,2.0
282,46,Directed,1.0
283,250,Directed,4.0
283,56,Directed,4.0
284,30,Directed,4.0
285,191,Directed,2.0
285,207,Directed,1.0
286,135,Directed,2.0
286,73,Directed,2.0
287,8,Directed,1.0
287,132,Directed,1.0
287,274,Directed,1.0
288,203,Directed,2.0
288,47,Directed,2.0
289,83,Directed,1.0
289,191,Directed,1.0
290,224,Directed,1.0
290,168,Directed,2.0
290,10,Directed,4.0
290,58,Directed,4.0
290,13,Directed,2.0
290,109,Directed,1.0
290,54,Directed,2.0
290,116,Directed,2.0
290,76,Directed,2.0
291,274,Directed,1.0
293,223,Directed,4.0
293,258,Directed,2.0
293,275,Directed,2.0
293,191,Directed,2.0
293,56,Directed,2.0
293,281,Directed,1.0
294,191,Directed,4.0
295,106,Directed,1.0
295,191,Directed,2.0
296,152,Directed,2.0
296,46,Directed,1.0
297,252,Directed,2.0
297,185,Directed,2.0
297,271,Directed,2.0
297,249,Directed,1.0
297,61,Directed,1.0
297,274,Directed,2.0
297,31,Directed,1.0
297,114,Directed,1.0
297,132,Directed,2.0
297,8,Directed,2.0
297,92,Directed,1.0
297,157,Directed,1.0
297,159,Directed,2.0
297,248,Directed,2.0
298,250,Directed,2.0
298,191,Directed,2.0
